COLETA,DATA,PONTO,DBO,COD,N-NH4,N-Org,N-NO2,N-NO3,NT,PT,OD,Q
1,17/06/2005,IG2E,72,7.75,41.83,22.68,0.87,0.27,65.66,0.22,3.2,113.2
2,30/06/2005,IG2E,51.6,11.73,59.98,10.08,1.32,0.21,71.59,0.37,2.7,48.1
3,20/07/2005,IG2E,43.2,11.12,6.82,1.16,0.38,0.19,8.55,0.35,3.3,27.1
5,10/08/2005,IG2E,23,6.83,6.32,6.32,0.45,0.98,14.06,0.2,7.7,33.5
8,19/10/2005,IG2E,12.1,6.79,4.04,0.69,1.08,0.17,5.97,0.23,3.7,160.9
12,14/03/2006,IG2E,16.3,7.33,20.85,3.23,0.1,0.76,24.94,0.87,1.6,15.4
13,03/04/2006,IG2E,9.1,10.51,7.81,1.07,0.07,0.32,9.27,0.4,1.9,37.2
14,10/04/2006,IG2E,40.2,23.25,11.43,1.47,0.06,0.35,13.31,0.12,1.4,27.0
15,26/04/2006,IG2E,24.7,12.66,9.02,1.85,0.05,0.65,11.58,0.86,2.5,11.6
17,24/05/2006,IG2E,13.1,13.58,8.62,0.55,0.03,0.87,10.07,0.52,1.9,7.6
18,07/06/2006,IG2E,17.7,18.15,8.85,1.34,0.05,0.19,10.42,1.82,2.3,6.7
19,21/06/2006,IG2E,24.9,24.59,1.7,1.26,0.08,0.08,3.12,1.5,2,6.0
21,13/03/2008,IG2E,8.6,12.86,1.9,2.24,0.17,0.38,4.69,0.63,10.3,34.2
23,07/05/2008,IG2E,5.3,7.19,3.7,1.57,0.1,0.57,5.93,0.26,4.6,107.6
24,04/06/2008,IG2E,4.7,8.17,1.34,2.35,0.12,0.92,4.73,0.24,3.1,51.6
26,01/07/2009,IG2E,20.6,8.87,9.32,0.78,0.1,0.15,10.35,2.06,2.2,23.8
27,22/09/2009,IG2E,8.8,6.89,7.62,0.43,0.14,0.27,8.55,0.39,2.7,157.1
28,01/12/2009,IG2E,3.6,7.21,1.48,0.23,0.07,0.56,2.34,0.26,4,81.0
29,27/01/2010,IG2E,3.6,6.69,0.51,3.04,0.04,0.63,4.21,0.52,3.5,145.9
30,17/03/2010,IG2E,6.5,5.63,5.53,1.05,0.05,0.37,7,0.64,1.8,58.2
31,22/04/2010,IG2E,17.1,5.52,8.29,1.98,0.03,0.13,10.43,1.35,1.5,90.6
32,09/06/2010,IG2E,7.9,6.99,3.23,0.6,0.1,0.51,4.44,0.97,4.3,72.3
33,19/08/2010,IG2E,17,5.95,11.48,2.94,0.02,0.18,14.62,2.12,2.6,45.1
34,20/10/2010,IG2E,7.5,4.48,6.17,4.04,0.1,0.69,11,0.7,2.4,24.1
35,24/11/2010,IG2E,12,6.3,8.2,2.1,0.07,0.22,10.59,0.62,2.2,37.0
37,24/08/2011,IG2E,3,2.2,0.25,2.33,0,0.33,2.82,0.93,5.7,183.4
40,02/10/2012,IG2E,14,6.26,2.55,11.83,0.09,1.17,15.65,0.37,4,14.7
41,24/10/2012,IG2E,14,5.69,-0.04,2.98,0.13,2.55,5.62,0.15,5.9,31.8
42,21/11/2012,IG2E,28,5.08,2.25,13.8,0.17,0.19,16.41,0.85,3,23.6
43,12/12/2012,IG2E,18,4.6,0.96,6.34,0.27,0.68,8.24,0.5,3,20.8
44,01/05/2013,IG2E,20,6.23,10.96,-2.08,0.11,0.82,9.81,0.35,4.3,47.5
46,10/09/2013,IG2E,14,5.48,10.5,5.07,0.28,1.18,16.78,0.65,2.5,34.1
47,21/10/2013,IG2E,20,6.53,9.71,13.11,0.62,2.14,25.58,1.82,2.8,38.4
48,05/12/2013,IG2E,20,3.83,4.89,7.04,0.04,0.58,12.55,0.78,2.5,32.5
49,31/03/2014,IG2E,12,6.17,1.32,10.69,0.18,2.89,13.75,1.06,5.4,61.9
50,22/07/2014,IG2E,14,5.96,9.74,10.68,1.16,0.96,12.81,1.18,3.1,34.5
52,02/03/2015,IG2E,10,4.89,5.53,5.72,0.69,0.82,12.77,0.48,5.2,75.1
53,01/06/2015,IG2E,5.4,7.19,3.24,1.66,0.24,13.67,18.81,0.68,5.5,79.1
55,14/03/2016,IG2E,12,4.1,3.4,3.8,0.14,0.7,8.05,0.85,4.8,86.6
56,06/06/2016,IG2E,7,5.43,1.16,0,0.09,0.89,2,0.27,5,102.3
57,21/11/2016,IG2E,14.7,8.92,7.42,-0.39,0.05,0.13,7.22,0.48,1.1,33.1
